"Data";"Lançamento";"Tipo";"Valor"
"01/08/2026";"IFOOD*RESTAURANTE";"Compra";"R$ 150,00"
"02/08/2026";"NETFLIX.COM";"Compra";"R$ 47,90"
"03/08/2026";"DROGASIL";"Débito";"R$ 82,45"
"04/08/2026";"UBER";"Compra";"R$ 35,50"
"05/08/2026";"POSTO SHELL";"Compra";"R$ 200,00"
"06/08/2026";"AMAZON 01/03";"Compra";"R$ 99,90"
"07/08/2026";"CARREFOUR";"Compra";"R$ 310,20"
"08/08/2026";"CINEMARK";"Compra";"R$ 75,00"
"09/08/2026";"SPOTIFY";"Compra";"R$ 21,90"
"10/08/2026";"PAGAMENTO DA FATURA";"Crédito";"R$ 1.022,85"
